,tic,gsector
1810111,TAIT,45.0
4053705,NMFC,40.0
414552,STTX,10.0
3114261,CEOA,20.0
1113260,ZONX,50.0
430828,7402B,40.0
868484,SOME,40.0
2390414,GGDVY,55.0
4429205,GELGF,15.0
3113972,ABR.PC,40.0
2076411,FFOX.,15.0
3696719,TITN,20.0
2522887,CANX.,15.0
1842512,NEXT,10.0
231329,NKE,25.0
1485886,RDTMF,15.0
3220792,TLOFF,15.0
3648172,GOCH,45.0
1310470,ACCFF,40.0
3384622,BTHE,35.0
4418558,GPRK,10.0
2247825,QADA,45.0
1727035,AMED,35.0
242670,OART,25.0
2189453,WTFC,40.0
703718,FSB,40.0
4390527,MMRF,35.0
798410,AXPWQ,20.0
3667760,KURU,35.0
399316,ABBY,25.0
3848022,PLSB,30.0
4071430,RTSO,10.0
2579485,VULMF,15.0
2278814,MOFG,40.0
1809860,CWIR,20.0
1126729,CYUR,10.0
3646730,NEON,45.0
1761957,DOCRF,35.0
2221250,HTC.,15.0
3611632,TIPT,40.0
1580915,OFIX,35.0
2807348,REDFY,25.0
2624374,ELON,45.0
904734,MPME,35.0
2631714,FHBC,30.0
910256,SFS,30.0
3535676,NCMI,50.0
508475,CMT,15.0
3166980,RLLRF,35.0
3561283,MOLOF,30.0
2935853,RVXCF,35.0
1753468,COF.PH,40.0
3615708,TRL.WT,50.0
4448995,SRT,45.0
3910700,FVGCF,15.0
147202,ALSE,35.0
3384120,PHRX,35.0
4172385,WPXP,10.0
2778848,CSTI,45.0
2399583,LMDCF,50.0
2129994,MTEI,55.0
2490151,TLT.,35.0
4011917,PTQQF,35.0
159958,HRL,30.0
3023290,FNEC,55.0
1667548,DSPG,45.0
3465568,ALO.,15.0
3520195,III,45.0
282581,SLB,10.0
2698280,ROX.,15.0
4288332,ENLAY,55.0
3212824,PEIX,10.0
2092217,AMNL,15.0
4202448,ROII,40.0
389210,FREDQ,25.0
2275607,GPS.,45.0
2204102,UBFO,40.0
2314000,EMNC,45.0
23990,ALOT,45.0
3484326,BNGI,60.0
3053127,QEC.,10.0
941164,SHWK,20.0
2542575,RJKAF,15.0
1536168,FIL.,15.0
2263208,PVMCF,15.0
1971721,NMTR,35.0
4330360,EKTAY,35.0
1440792,NKORF,15.0
2447439,RFXRF,10.0
477241,SJR.PR.A,50.0
4433866,PHXXY,40.0
4076566,COHO,45.0
973380,NG,15.0
309088,TALC,40.0
4056466,FBMCF,10.0
3979722,ADFT,40.0
2821011,CLYXF,45.0
921536,CMCT,60.0
1601398,CNDT,45.0
2921630,ZBH,35.0
2514755,MLY.,15.0
3260186,NXTYQ,40.0
155237,HMENF,10.0
3252557,ERILF,20.0
27474,AVT,45.0
312918,TNC,20.0
1621249,LXP,60.0
1323749,EDT.,35.0
198523,LPX,15.0
3568952,GLRE,40.0
139918,GMM.U,25.0
432338,CCL,25.0
3272346,APTOF,35.0
4246350,RANGF,10.0
1131651,ITRO,15.0
633177,KERMF,15.0
3928910,ANTH,35.0
3909015,CULL,40.0
116438,NEU,15.0
3194963,TRIL.,35.0
4243840,CSX.,20.0
3100805,SGBP,40.0
2305234,HFWA,40.0
2707106,ALA.PR.I,55.0
2621481,CLWD,45.0
809866,PTC,45.0
2131507,NFTI,15.0
1269682,TTEK,20.0
4381128,CEENF,45.0
2246242,EMR.,15.0
1846187,NXNN,35.0
2100979,ADVC,45.0
244176,OKE,10.0
3112689,SWCC,25.0
984781,LTRPA,50.0
3210299,TNSGF,40.0
2327738,ATWT,45.0
3157704,BXC,20.0
2044452,BNGOU,35.0
2475520,GRDSF,10.0
1691932,MICCF,50.0
4457837,HLLGY,25.0
4066525,SENY,20.0
769869,YUME,45.0
3127371,LBTYA,50.0
2215650,VCST,45.0
1523839,LIVN,35.0
4015816,REZZF,15.0
64655,CDNTF,25.0
4091888,NULGF,15.0
2703553,EGOV,45.0
2383890,CFRUY,25.0
3943053,BLGVF,20.0
493077,AB,40.0
2250199,WEDXF,40.0
1799334,MDI.,15.0
2363870,FLIDY,20.0
3403902,TMQ,15.0
4342342,PVPVY,60.0
4176105,CNBX,35.0
1104972,NEWR,45.0
2202503,BHBCQ,40.0
4023016,SPGYF,10.0
207316,MCD,25.0
3318996,AFSI.PF,40.0
293925,JROOF,10.0
3017026,MTRO,45.0
3584853,HWTHF,15.0
4459351,COVTY,15.0
3275176,SSPC,50.0
563233,BMO.PR.T,40.0
731467,FCUUF,10.0
3689052,OLA.,15.0
1116718,BCT.,35.0
2110963,SWM,15.0
631671,LB.PR.H,40.0
2993466,CJCFF,15.0
949891,NRTHF,20.0
1950073,SLS,35.0
4276698,TRIP,50.0
457264,CLH,20.0
2265240,NLY.PE,40.0
381455,DMCD,40.0
2459939,FEX.,15.0
1633680,GSY.,40.0
1478922,APVO,35.0
119117,FCGN,45.0
2454922,FBSS,40.0
4431480,ABLX,35.0
1019148,DGLT,45.0
